"Time","ASMR","Airport CEO","Alien: Isolation","Clash Royale","Dale & Dawson Stationery Supplies","Dead End Exit 8","Dead by Daylight","Dofus","ELDEN RING","FTL: Faster Than Light","Five Nights at Freddy's","Fortnite","Genshin Impact","Golf It!","Grand Theft Auto V","Harry Potter and the Sorcerer's Stone","Haunted Castle","Hearthstone","Hollow Knight","I'm Only Sleeping","IRL","Just Chatting","League of Legends","Maitre des Fleurs","Minecraft","NBA 2K25","Offline","Online","Outlast","Platform 8","Pokémon FireRed/LeafGreen","Pokémon GO","Pokémon HeartGold/SoulSilver","Pokémon Scarlet/Violet","PowerWash Simulator","Rocket League","Selaco","Special Agent","Special Events","Star Citizen","Street Fighter 6","Super Smash Bros. Ultimate","TEKKEN 8","Talk Shows & Podcasts","Teamfight Tactics","That's Not My Neighbor","The Legend of Zelda: Ocarina of Time","The Legend of Zelda: The Wind Waker","The Mortuary Assistant","Trackmania","VALORANT","Voices of the Void","Warhammer 40","World of Warcraft","World of Warships"
2024-09-06 20:40:00,,,,,,,,,,,,,475,835,,,,,,,,3936,3082,,,,0,,,3701,,,1013,,,625,,,325174,,,,,,269,,,,,124,,,,1454,
2024-09-06 20:45:00,,,,,,,,,,,,,533,818,,,,,,,,,2910,,,,0,,,4022,,,1001,,,635,,,323294,,,,,,307,,,,,101,,,,1428,
2024-09-06 20:50:00,,,,,,,,,,,,,539,807,,,,,,,,,1935,,,,0,,,3862,,,1019,,,532,,,320493,,,,,,298,,,,,107,,,,1507,
2024-09-06 20:55:00,,,,,,,,,,,,,531,823,,,,,,,,,1708,,,,0,,,4000,,,1060,,,574,,,316719,,,,,,325,,,,,107,,,,2289,
2024-09-06 21:00:00,,,,,,,,,,,,,496,,,,,,,,,,1847,,,,0,,,4171,,,1040,,,531,,588,331332,,,,,,299,,,,,,,,,2338,
2024-09-06 21:05:00,,,,,,,,,,,,,516,,,,,,,,,,1877,,,,0,,,3594,,,1071,,,,,,321150,,,,,,285,,,,,,,,,2409,
2024-09-06 21:10:00,,,,,,,,,,,,,,,,,,,,,,,2161,,,,0,,,3145,,,1084,,,,,,323310,,,,,,290,,,,,,,,,2407,
2024-09-06 21:15:00,,,,,,,,,,,,,,,,,,,,,,,1958,,,,0,,,3021,,,1070,,,,,,317883,,,,,,287,,,,,,,,,2421,
2024-09-06 21:20:00,,,,,,,,,,,,,,,,,,,,,,,2048,,,,0,,,2951,,,1104,,,,,,322735,,,,,,297,,,,,,,,,2607,
2024-09-06 21:25:00,,,,,,,,,,,,,,,,,,,,,,,2126,,,,0,,,3019,,,1104,,,,,,323014,,,,,,301,,,,,,,,,2755,
2024-09-06 21:30:00,,,,,,,,,,,,,,,,,,,,,,,2244,,,,0,,,2849,,,1112,,,,,,318547,,,,,,295,,,,,,,,,2607,
2024-09-06 21:35:00,,,,,,,,,,,,,,,,,,,,,,,2253,,,,0,,,2881,,,1096,,,,,,322421,,,,,,308,,,,,,,,,2635,
2024-09-06 21:40:00,,,,,,,,,,,,,,,,,,,,,,2946,2053,,,,0,,,2946,,,1091,,,,,,326707,,,,,,269,,,,,,,,2027,2478,
2024-09-06 21:45:00,,,,,,,,,,,,,,,,,,,,,,2745,1833,,,,0,,,,,,1074,,,,,,326596,,,,,,274,2690,,,,,,,2083,2499,
2024-09-06 21:50:00,,,,,,,,,,,,,,,,,,,,,,,1841,,,,0,,,,,,1091,,,,,,326183,,,,,,271,2582,,,,,,,2127,2560,
2024-09-06 21:55:00,,,,,,,,,,,,,,,,,,,,,,,1680,,,,0,,,,,,1092,,,,,,326111,,,,,,281,2501,,,,,,,2180,2639,
2024-09-06 22:00:00,,,,,,,,,,,,,,,,,,,,,,,1750,,,,0,,,,,,1056,,,,,,326400,,,,,,306,2580,,,,,,,2068,2430,
2024-09-06 22:05:00,,,,,,,,,,,,,,,,1,,,,,,,1653,,,,0,,,,,,1021,,,,,,325458,,123,,,,313,2742,,,,,,,2033,2553,
2024-09-06 22:10:00,,,,,,,,,,,,,,,,208,,,,,,2628,1792,,,,0,,,,,,1099,,,,,,325568,,130,,,,324,2628,,,,,,,2249,2608,
2024-09-06 22:15:00,,,,,,,,,,,,,,,,440,,,,,,2481,1717,,,,0,,,,,,1099,,,,,,320671,,138,,,,308,,,,,,,,2083,2673,
2024-09-06 22:20:00,,,,,,,,,,,,,,,,648,,,,,,2653,1625,,,,0,,,,,,1062,,,,,,320975,,145,,,,292,,,,,,,,,2664,
2024-09-06 22:25:00,,,,,,,,,,,,,,,,719,,,,,,2800,1218,,,,0,,,,,,1033,,,,,,325747,,159,,,,249,,,,,132,,,,2559,
2024-09-06 22:30:00,,,,,,,,,,,,,,,,818,,,,,,2849,1289,,,,0,,,,,,987,,,,,,329302,,170,,,,293,,,,,,,,,2549,
2024-09-06 22:35:00,,,,,,,,,,,,,,,,924,,,,,,2745,1234,,,,0,,,,,,965,,,,,,335136,,176,,,,365,,,,,,,,,2558,
2024-09-06 22:40:00,,,,,,,,,,,,,,,,961,,,,,,7695,1143,,,,0,,,,,,965,,,,,,333998,,168,,,,389,,,,,,,,,2612,
2024-09-06 22:45:00,,,,,,,,,,,,,,,,995,,,,,,5290,1299,,,,0,,,,,,945,,,,,,335838,,194,,,,421,,,,,,,,,2651,
2024-09-06 22:50:00,,,,,,,,,,,,,,,,1024,,,,,,4759,1221,,,,0,,,,,,931,,,,,,337686,,195,,,,394,,,,,,,,,2675,
2024-09-06 22:55:00,,,,,,,,,,,,,,,,1088,,,,,,4439,1122,,,,0,,,,,,920,,,,,,338456,,188,,,,418,,,,,,,,,2581,
2024-09-06 23:00:00,,,,,,,,,,,,,,,,1058,,,,,,4504,1182,,,,0,,,,,,920,,,,,,342489,,183,,,,413,,,,,,,,,2639,
2024-09-06 23:05:00,,,,,,,,,,,,,,,,1025,,,,,,4313,1188,,,,0,,,,,,909,,,,,,342236,,195,,,,443,,,,,,,,,2758,
2024-09-06 23:10:00,,,,,,,,,,,,,,,,993,,,,,,3998,915,,,,0,,,,,,892,,,,,,338858,,206,,,,395,,,,,,,3998,,2786,
2024-09-06 23:15:00,148,,,,,,,,,,,,,,,1054,,,,,,,915,,,,0,,,,,1020,892,,,,,,327313,,198,,,,364,,,,,,,3937,,3046,
2024-09-06 23:20:00,237,,,,,,,,,,,,,,,1041,,,,,,,,,,,0,,,,,1013,869,,,,,,329272,,205,,,,386,,,,,,,3861,,2911,
2024-09-06 23:25:00,263,,,,,,,,,,,,,,,1061,,,,,,,,,,,0,,,,,966,889,,,,,,327044,,198,,,,351,,,,,,,3730,,3113,
2024-09-06 23:30:00,317,,,,,,,,,,,,,,,974,,,,,,,,,,,0,,,,,888,872,,,,,,323764,,190,,,,373,,,,,,,3678,,3148,
2024-09-06 23:35:00,309,,,,,,,,,,,,,,,1056,,,,,,,,,,,0,,,,,637,843,,,,,,331242,,188,,,,377,,,,,,,3886,,3131,
2024-09-06 23:40:00,346,,,,,,,,,,,,,,,1043,,,,,,,,,,,0,,,,,791,852,,,,,,328118,,193,,,,412,,,,,,,3550,,3047,
2024-09-06 23:45:00,444,,,,,,,,,,,,,,,937,,,,,,,,,,,0,,,,,766,852,,,,,,325624,,212,,,,385,,,,,,,3512,,3106,
2024-09-06 23:50:00,397,,,,,,,,,,,,,,,1126,,,,,,,,,,,0,,,,,825,882,,,,,,335499,,199,,,,380,,,,,,,3326,,3280,
2024-09-06 23:55:00,513,,,,,,,,,,,,,,,1152,,,,,,,,,,,0,,,,,754,899,,,,,,307147,,197,,,,390,,,,,,,3546,,3316,
2024-09-07 00:00:00,594,,,,,,,,,,,,,,,1132,,,,,,,,,,,0,,984,,,764,881,,,,,,301659,,200,,,,416,,,,,,,3483,,3380,
2024-09-07 00:05:00,664,,,,,,,,,,,,,,,1257,,,,,,,,,,,0,,1012,,,697,869,,,,,,296949,,194,,,,434,,,,,,,3354,,3453,
2024-09-07 00:10:00,678,,,,,,,,,,,,,,,1171,,,,,,,,,,,0,,990,,,612,879,,,,,,291496,,196,,,,439,,,,,,,3231,,3503,
2024-09-07 00:15:00,688,,,,,,,,,,,,,,,997,,,,,,,,,,,0,,1006,,,644,903,,,,,,288131,203,201,,,,405,,,,,,2094,3201,,3593,
2024-09-07 00:20:00,635,,,,,,,,,,,,,,,1398,,,,,,,,,,,0,,1033,,,487,878,,,,,,279958,194,217,,,,395,,,,,,1213,3201,,724,
2024-09-07 00:25:00,603,,,,,,,,,,,,,,,1460,,,,,,,,,,,0,,1075,,,553,868,,,,,,274537,212,217,,,,406,,,,,,1152,,,700,
2024-09-07 00:30:00,766,,,,,,,,,,,,,,,1346,,,,,,,,,,,0,,1075,,,522,836,,,,,,269740,224,209,,,,437,,,,,,1109,,,678,
2024-09-07 00:35:00,649,,,,,,,,,,,,,,,1320,,,,,,,,,,,0,,1054,,,532,875,,,,,,266252,224,237,,,,437,,,,,,1054,,,644,
2024-09-07 00:40:00,830,,,,,,,,,,,,,,,1360,,,,,,,,,,,0,,1012,,,474,846,,,,,,263051,229,224,,,,453,,,,,,983,,,652,
2024-09-07 00:45:00,790,,,,,,,,,,,,,,,1290,,,,,,,,,,,0,,1027,,,516,824,,,,,,258765,219,213,,,,467,,,,,,999,,,642,
2024-09-07 00:50:00,781,,,,,,,,,,,,,,,1346,,,,,,,,,,,0,,1000,,,526,893,,,,,,254883,223,156,,,,490,,,,,,859,,,661,
2024-09-07 00:55:00,635,,,,,,,,,,,,,,,1329,,,,,,,,,,,0,,961,,,491,860,,,,,,252467,220,144,,,,476,,,,,,900,,,674,
